,title,price,img,post,condition
0,Singer Sewing Machine,65,https://images.craigslist.org/00F0F_4lB7unrMl7I_600x450.jpg,"Singer sewing machine with beautiful scroll detailing and metal fittings. Circa 1917, model number 66, only 5,000 of this model was made.  A nice piece for collectors and sewing enthusiasts! Come in and take a look!

Find this and much more at Paul's Place... DOORS, WINDOWS, TUBS, SINKS, LUMBER, ARCHITECTURAL SALVAGE, ANTIQUE LIGHTING, COLLECTIBLES... AND LIGHTING RESTORATION!

OPEN FRI & SAT 10am - 5pm & SUN 12 - 5pm
1009 Overbrook Road
Richmond, VA 23220
804-228-999nine 
www.paulsplaceonline.com",fair
1,Kill Bill RARE lunchbox with thermos,75,https://images.craigslist.org/01212_ctljcUHicL_600x450.jpg,"Kill bill lunchbox with packaged drink container. The metal lunchbox also features original characters from the movie. High quality collectible for Tarantino fans, the product comes from NECA.",new
2,Large Amber Glass Apothecary Jars with Stoppers,30,https://images.craigslist.org/00202_jhcJLwOtsi_600x450.jpg,"Two antique glass jars with lids, $30 for the pair

Please reach out by email if you would like to make an appointment to see this piece in person. Kindly give some idea of your best days and times to meet when requesting an appointment. I am located on W. Broad Street near Belvidere in the First Fridays Arts District.",excellent
3,Vintage soda stream,20,https://images.craigslist.org/00Q0Q_gRJcrX8FNWM_600x450.jpg,"Olden times soda stream. Not sure if it still functions but I think it does. Three boxes of cartridges.

Any offer will get it, so let me know if you're interested",
4,AMOCO Chevy Bel Air diecast model,75,https://images.craigslist.org/01616_iwo5tIncNB3_600x450.jpg,"This adorable AMOCO 1955 Chevy Bel Air convertible is 9.25"" long and 3.5"" wide. It is made by the Gearbox Pedal Car Company. The steering wheel turns the front wheels and the trunk opens revealing vintage suitcases. This is in very good used condition.

Find this and much more at Paul's Place... DOORS, WINDOWS, TUBS, SINKS, LUMBER, ARCHITECTURAL SALVAGE, ANTIQUE LIGHTING, COLLECTIBLES... AND LIGHTING RESTORATION!

OPEN FRI & SAT 10am - 5pm & SUN 12 - 5pm
1009 Overbrook Road
Richmond, VA 23220
804-228-999nine 
www.paulsplaceonline.com",good
5,"American Tobacco Co, St. James Parish Perique, William Kimball & Co.",50,https://images.craigslist.org/00707_jyKNegAAsJv_600x450.jpg,"Vintage American Tobacco Company, St. James Parish Perique, William Kimball & Company Container. 

•American Tobacco Company, Rochester NY
•Genuine St. James Parish Perique
•William Kimball & Company
•3.5” Wide x 2 ¼” deep x 2” tall",good
6,RARE Industrial History of the United States Leather Book 1881,150,https://images.craigslist.org/00w0w_wjCwcYD6Xn_600x450.jpg,"RARE Industrial History of the United State by Bolles, published in 1881. Some beautiful notes from the period written in the initial pages. Amazing piece of US history and great for any collector. Not many of these are around. Has condition issues due to the age, as the pictures show. 

Asking $150.",good
7,KOBE ROOKIE CARDS,50000,https://images.craigslist.org/00l0l_jl77mJtyNM4_600x450.jpg,"3 KOBE BRYANT ROOKIE CARDS 1996
7KOBE BRYANT NBA CARDS FROM 1997 & 1998

Also have ROOKIE Iverson, Duncan, & Garnett!! Plus more 

Perfect condition been privately kept by me the only owner for over 24 years. 

Perfect addition to any KOBE collection.",like new
8,DEPT. 56 DICKENS' 15 BOX ACCESSORIES,2,https://images.craigslist.org/00d0d_81bZc4pMw9u_600x450.jpg,"DEPT. 56 DICKENS' 15 BOX ACCESSORIES
PRICES FROM $2 TO $20
ALL IN BOXES AND IN GREAT CONDITION MOST OF THEM ARE NEW  

DEPARTMENT 56 HERITAGE VILLAGE ACCESSORY- YEOMEN OF THE GUARD SET OF 5  $7
DEPARTMENT 56 HERITAGE VILLAGE SERIES TALLY HO! SET OF 5  $ 10
DEPT 56 LANDSCAPE ROADWAY - VILLAGE BRICK TOWN SQUARE - 52601 23.5"" X 23.5"" NEW  $10
DEPT 56 Dickens Village THE QUEEN'S PARLIAMENTARY COACH Limited Edition  $ 15
DEPT 56 Heritage Village ROYAL COACH! London, Great Britain, Queen  $15
DEPT 56 HARVEST PUMPKIN WAGON #56591 CIC VILLAGE / RETIRED NEW IN BOX  $10
DEPT 56 DICKENS VILLAGE - FINE ASIAN ANTIQUES 58462 SET 2 - RETIRED 2002 NEW $ 7
DEPARTMENT 56 VILLAGE WINTER BIRCH TREES. SET OF 6. BOX $8
DEPT 56 DICKENS VILLAGE - A TREASURE FROM THE SEA 58461 SET 2 RETIRED 2001 NEW $4
Dept. 56 Accessories. Village Flag Pole. $3
Department 56 Village Multiple Outlet Strip - 6 Outlets on strip New $ 8
Department 56 Village Multiple Outlet Strip - 6 Outlets on strip used $ 4 
DEPT 56 VILLAGE LANDSCAPE - PONDEROSA PINES 52607 SET 3 ASSORTED SIZES BRAND NEW $ 5 Dept 56 WINTERGREEN PINES set of 2 Village Accessories $8 
Dept 56 Woodland Wildlife Fire Wood stacked w/ snow covering, red cardinal, check out the pictures for this lot.
asking  $20 they sell for a lot more on E-bay for this many pieces.



BUILDING HAVE BEEN SOLD AND STILL HAVE A LOT OF ACCESSORIES 
EMAIL ME IF YOU WANT TO SEE WHAT I HAVE .
THANKS AND HAVE A NICE DAY",excellent
9,Andy Warhol Tomato Soup Print,150,https://images.craigslist.org/00909_eahZGnVldIT_600x450.jpg,"Selling a Framed Andy Warhol Campbell Soup Can (Tomato) Sunday B Morning Silkscreen Print.

Print is in good condition and was framed since new. Ready to hang and a real value when you consider framing costs. One small imperfection which is captured in the last picture.",
