,title,price,img,post,condition
0,all-in-one carry on luggage,80,https://images.craigslist.org/00s0s_55NV8b5GO3U_600x450.jpg,"Used ONLY once on a weekend car trip, roller-bag backpack combo carry on with zip- on detachable small backpack. This was a gift that I used one time on a weekend road trip. 

Great for travel when you need to get through train stations and hilly landscapes because you can chose to put it on your back or roll it or both (the carry on has back pack straps in a zippered compartment, with the small pack zipped on you can transport it hands free).

The pull out handle is adjustable for different heights. They thought of everything.",like new
1,"Noritake China, Patience design",90,https://images.craigslist.org/00z0z_jmRq1kc2BKW_600x450.jpg,"Seven - 5 piece place settings, one extra dinner plate. One 10"" oval bowl, one 13.5 inch oval serving platter, and two silver rimmed champagne glasses as a bonus. Excellent condition, no wear, chips, or scratches.",make / manufacturer: Noritake
2,Art Deco German Ceramic Spice Canister and Cruet Jar Set,65,https://images.craigslist.org/00Z0Z_3DspGEORpqu_600x450.jpg,Please reach out by email if you would like to make an appointment to see this piece in person. Kindly give some idea of your best days and times to meet when requesting an appointment. I am located on W. Broad Street near Belvidere in the First Fridays Arts District.,excellent
3,Framed 1930s New York City Architectural Bridge Photo Lithograph,142,https://images.craigslist.org/00M0M_1FRSE6941ij_600x450.jpg,"24.63ʺW × 0.75ʺD × 15.5ʺH

Please reach out by email if you would like to make an appointment to see this piece in person. Kindly give some idea of your best days and times to meet when requesting an appointment. I am located on W. Broad Street near Belvidere in the First Fridays Arts District.",excellent
4,Overstock Hot Tub Covers,,https://images.craigslist.org/00c0c_eSuOF9fMk8k_600x450.jpg,"HOT TUB/ SPA COVERS IN A VARIETY OF COLORS AVAILABLE. 
These covers have never been used and come with a full 5 year manufacturer’s warranty. 
Covers will fit most sizes and models of hot tubs and spas. 
If the ad Is up It Is still available
I WILL DELIVER FOR NO ADDITIONAL COST.


145/60-20 255/35-20 285/30-20 305/50-20 155/60-20 255/40-20 285/35-20 305/55-20 155/65-20 255/285/40-20 315/30-20 165/60-20 255/50-20 285/45-20 315/35-20 175/55-20 255/55-20 285/50-20 315/50-20 195/50-20 265/30-20 285/55-20 325/25-20 215/45-20 265/35-20 285/60-20 325/30-20 225/35-20 265/40-20 285/65-20 325/35-20 235/30-20 265/45-20 295/25-20 325/60-20 235/35-20 265/50-20 295/30-20 335/25-20 235/40-20 265/60-20 295/35-20 335/30-20 235/45-20 275/30-20 295/40-20 33X12.5-20 235/55-20 275/35-20 295/45-20 345/25-20 245/30-20 275/40-20 295/50-20 345/30-20 245/35-20 275/45-20 295/60-20 35X12.5-20 245/40-20 275/50-20 295/65-20 37X12.5-20 245/45-20 275/55-20 305/25-20 37X13.5-20 245/50-20 275/60-20 305/30-20 40X15.5-20 245/60-20 275/65-20 305/35-20 255/30-20 285/25-20 305/45-20",
5,Unusual Tole Metal Light Fixture with Swirl Glass Globe,175,https://images.craigslist.org/00a0a_gj6h8YnfS5I_600x450.jpg,"Measures 40""T incl. existing pole. Main body of light w/out pole is 15""T.

Please reach out by email if you would like to make an appointment to see this piece in person. Kindly give some idea of your best days and times to meet when requesting an appointment. I am located on W. Broad Street near Belvidere in the First Fridays Arts District.",good
6,Thick stemmed Wicker basket with handle,10,https://images.craigslist.org/00W0W_jQMSn3FLEm5_600x450.jpg,"Thick stemmed Wicker basket with handle

Measures 12 inches diameter at base and opens up to 16 inches diameter at top. Curved handle of same material. One handle has one of its four stems split - see the photo.

$10

Pick Up Only.",good
7,Reclaimed heart pine flooring,300,https://images.craigslist.org/00r0r_3zV4rLW9Bvn_600x450.jpg,Leftovers from renovation. Purchased from ET Moore. It has been prepped & cut- install ready- various sizes.,
8,"Christmas Tree w/ Lights, Ornaments, Star, Wreath, 3 Garlands $75 OBO",75,https://images.craigslist.org/01515_b36P3jZSTEM_600x450.jpg,"For sale:

A mix of almost $500 worth of Christmas Decorations for $75. Needs to be sold by Feb 1. 

7.5 Feet Tall Christmas Tree (Retail $198) - not all the installed lights work, hence the purchase of over 1000 lights (seen below)
Over 200 Orniments (Retail $70)
Door Wreath (w/ working lights on timer) - (Retail $35)
Silver Decorations (Retail $25)
Over 1000 lights (Retail $40) - Mix of twinkle and steady bulbs
Tree Skirt (Retail $10)
3 separate 3 foot wide garlands (Retail $70)

Live in downtown richmond near the Jefferson Hotel.",good
9,Large Area Rug,90,https://images.craigslist.org/01010_5q07FPRbv5B_600x450.jpg,"Like new area rug.
6’x9’
$90 or best offer. Originally over $200.
Must pick up.
Cash only.",like new
