,title,price,img,post,condition
0,Mesa/Boogie Grid Slammer Overdrive,180,https://images.craigslist.org/00j0j_9q4lwLfUh9O_600x450.jpg,Like new condition!,like new
1,1965 Fender Jaguar w/OHSC,4000,https://images.craigslist.org/00A0A_1LAjmGX4s9C_600x450.jpg,"Good Cosmetic Condition, but Stellar Playing Condition!",good
2,Ampeg B2-RE 450W Bass Amp Head,490,https://images.craigslist.org/00b0b_aSDBVHhR3ox_600x450.jpg,Near mint condition!,like new
3,1983 Fender American Telecaster Elite w/OHSC,2500,https://images.craigslist.org/00b0b_5PGNWZEjCH8_600x450.jpg,Excellent+ Condition!,excellent
4,Cordovox P.P.23 61-Key Keyboard,290,https://images.craigslist.org/00a0a_j6hO2DTxFJw_600x450.jpg,"Fair Cosmetic Condition, but Excellent Playing Condition!",fair
5,"Behringer Eurolive 15"" powered speaker pair (both working) + stands",430,https://images.craigslist.org/00c0c_1qi5eLBpEbk_600x450.jpg,"These are probably 6 or so years old. I had previous listed these when one one of them was not functioning, but I have since gotten it fixed (hit me up if you want the guy's info... he was very fast and charged a very reasonable hourly rate).

I'm selling a Behringer mixer as well, if you need something to run things through.",make / manufacturer: Behringer
6,1963 Gibson SG Special,5000,https://images.craigslist.org/00a0a_dUhye5H5029_600x450.jpg,"Fair Cosmetic Condition, but Plays Great!",fair
7,"1964 Fender Concert-Amp 40W 4 x 10"" Amp",3000,https://images.craigslist.org/00k0k_d4W0O2qyIWo_600x450.jpg,Excellent Cosmetic Condition and sounds amazing!,excellent
8,1964 Fender Jaguar w/OHSC,4000,https://images.craigslist.org/00e0e_gH2kBHdN268_600x450.jpg,"Good Cosmetic Condition, stellar playing condition!",good
9,Korg Triton Keyboard,750,https://images.craigslist.org/01212_i1K4JCKBdNB_600x450.jpg,"Good Cosmetic Condition, but Functions Flawlessly!",good
10,Mesa/Boogie JP-2C John Petrucci Mark IIC+ 60/100W Amp,2500,https://images.craigslist.org/00A0A_1fRmw38MjQg_600x450.jpg,Brand New!,new
11,2000 Jupiter JAS-669-667 Student Alto Sax,310,https://images.craigslist.org/00202_l71plCXmc6C_600x450.jpg,Excellent Condition!,excellent
12,"1965 Ludwig No. 400 Supraphonic 5"" x 14"" Snare Drum",510,https://images.craigslist.org/01010_KDImgQAwAA_600x450.jpg,Very Good Condition!,good
13,Selmer AS300 Student Alto Sax w/Case,500,https://images.craigslist.org/00707_kRfBE631sUz_600x450.jpg,Good Condition - Eb-key pad needs to be replaced and the felts for the Eb keyguard and Low C keyguard are missing. The neck cork will need to be replaced soon.,good
14,Vito Reso-Tone 3 Clarinet with Case and Mouth,100,https://images.craigslist.org/00R0R_lDS7jq7xZbX_600x450.jpg,Good Condition!,good
15,Selmer Bundy Student Alto Saxophone w/Case,300,https://images.craigslist.org/00L0L_58WrFkDu3BO_600x450.jpg,"Fair Cosmetic Condition, but Good Playing Condition!",fair
16,16U Vertical/10U Slant Mixer Rack,190,https://images.craigslist.org/00N0N_5oe67tE7kKU_600x450.jpg,"Good Condition, however the top lid is missing.",good
17,Fender PT-10 Tuner Pedal,40,https://images.craigslist.org/00C0C_5vYM4XVbeVl_600x450.jpg,Excellent Condition!,excellent
18,Selmer USA Model 101 Oboe w/Case,1450,https://images.craigslist.org/00e0e_hYxFvd4SJrP_600x450.jpg,Excellent Condition!,excellent
19,Gator Keyboard Flight Case,200,https://images.craigslist.org/00X0X_kdHnjAbx070_600x450.jpg,Excellent+ Condition!,excellent
20,2000 Gibson Working Man WM-45 Acoustic Guitar,1340,https://images.craigslist.org/00C0C_b9YxQJIC48D_600x450.jpg,"Very Good Cosmetic Condition, Stellar Playing Condition!",good
21,Music Man One-Thirty HD130 212 Tube Amp 1970’s,700,https://images.craigslist.org/01616_lEzH6u3hIWL_600x450.jpg,"70’s Music Man here with original speakers and the 12ax7 tube inverter circuit which is more desirable over the solid state version.

Upgraded Neve knobs so you don’t have to, along with oxblood silver stripe grill cloth. 

I have the “212” badge as well for the bottom right corner, just took it off for looks. 

Fresh set of JJ tubes with very low hours on them. New 3-prong installed.

Tolex wear on bottom. 

Local pickup only. Can drive within reason from Richmond, VA.",
22,Phonic Stereo comp/gate/lim,50,https://images.craigslist.org/00f0f_3shUSKtpoTK_600x450.jpg,"Phonic Dyn2000 Comp/Gate/Limiter
Compressor Gate and Limiter with dramatic digital cheesiness! 
$50

Art Digital MPA II - sold",
23,G&L Tribute S-500 Guitar,550,https://images.craigslist.org/00v0v_h7492NbJv8N_600x450.jpg,New Condition!,new
24,G&L Tribute Legacy Ebony Guitar,500,https://images.craigslist.org/00j0j_9jg7XWWjKQi_600x450.jpg,New Condition!,new
25,G&L Tribute SB-2 Bass,600,https://images.craigslist.org/01010_9MyvJ1ZhSJq_600x450.jpg,New Condition!,new
26,"Sabian 14"" AA Regular Hats Hi-Hat Cymbals",140,https://images.craigslist.org/00s0s_iQdbtZEi6QT_600x450.jpg,Very Good Condition!,good
27,1949 Martin 00-18 Acoustic Guitar,3400,https://images.craigslist.org/01515_llBMziPLZ4K_600x450.jpg,"Good Cosmetic Condition, Immaculate Playing Condition!",good
28,Pair of Kustom KSE10T PA Speakers,110,https://images.craigslist.org/00E0E_dPKDu7PkeeH_600x450.jpg,"Good Cosmetic Condition, but Sound Great!",good
29,Murray SRG1 Squareneck Resonator Guitar,1855,https://images.craigslist.org/00404_5EQu5JLTwB0_600x450.jpg,Excellent+ Condition!,excellent
30,Selmer Paris S-80 C* Alto Sax Mouthpiece,150,https://images.craigslist.org/00T0T_nU1o6pbWTv_600x450.jpg,"Good Condition, some noticeable scuff marks and scratches and some small chips in the rubber pad",good
31,Yamaha HS8S 150W Powered Studio Subwoofer,350,https://images.craigslist.org/00l0l_ava3OA7BQ17_600x450.jpg,"Very Good Cosmetic Condition, but Sounds Incredible!",good
32,2004 Manuel Raimundo Model 146 Classical Guitar,620,https://images.craigslist.org/00N0N_9SRJKLwYP6y_600x450.jpg,"Good Cosmetic Condition, but sounds Amazing!",good
33,Raxxess 2-Space Steel Rack Drawer,60,https://images.craigslist.org/00U0U_cRe6FrIehG2_600x450.jpg,Good Condition!,good
34,Fernandes Revival Thinline Tele-style Guitar,570,https://images.craigslist.org/00M0M_dzkLLXvixdj_600x450.jpg,"Good Cosmetic Condition, Fantastic Playing Condition!",good
35,Universal Audio Apollo x8,2100,https://images.craigslist.org/00202_3F2L3SC20JP_600x450.jpg,"Excellent condition, original box, bought new in June 2019. Plastic still on the LEDs. Has a couple rack rash marks but otherwise perfect.

Serious inquiries only please",
