,title,price,img,post,condition
0,2013 Lexus ls460,26500,https://images.craigslist.org/00t0t_gk3RUQcrEmR_600x450.jpg,"I have up for a nice Lexus ls460L v8 auto transmission with 22 inch staggered wheels like brand new. I have customized this car a little with roof spoiler trunk spoiler and coilover suspension. I've done some paint work to the front and rear bumpers only because of rock chips. Selling the car because I just don't have time to enjoy it. If interested give me a call or text asking 26,500 i have all stock wheels and suspension. Serious inquiries only please thanks for looking. 
show contact info
)",2013 Lexus ls460l
1,1985 VW Vanagon Westfalia (with coffee buildout),15500,https://images.craigslist.org/00i0i_km1Hkccw4jh_600x450.jpg,"A classic, Old School Westfalia in wonderful driving condition, and built to be used as a ""coffee van"" for a mobile business!  Of course, if you are uninterested in the coffee equipment, you can modify the van to your pleasing.  This van has never been in an accident and the engine runs like a charm... The engine was rebuilt 10k miles ago and is so fun to drive.  The popup canopy and bed are still in great condition and completely usable for camping trips!

Included in the ""coffee"" side of things:
-Astoria Gloria 2 group propane-powered espresso machine
-Simonelli Espresso Grinder
-Wash Sink
-Power Inverter
-Bunn Coffee Brewer
-Bunn Coffee Grinder
-Water Pump
-Water Tank
-Cork Flooring",1985 volkswagen vanagon westfalia
2,2013 VW Golf,9000,https://images.craigslist.org/00R0R_2N3su9ZN1mO_600x450.jpg,"Used Volkswagen Golf. 2013, 89,000 miles and has NEVER had any problems. Just got an oil change, new wipers, and no rips in the upholstery. Non-smoker. Gets great gas mileage (30-34mpg) and is overall a great little car. I did back into something so there are a few cosmetic defects to the rear. Asking 9,000 cash OBO.",2013 volkswagen golf
3,2010 Lexus LS 460 AWD,14990,https://images.craigslist.org/01313_dA8EV2Xl6TT_600x450.jpg,"Clean! Reliable Luxury, this Lexus LS 460 AWD has plenty of options to include sport adjustable suspension, rear heated seats, front heated and cooled seats and much more. Clean Carfax, No accidents, well maintained and serviced by Lexus of Richmond. Call us Today to schedule a Test drive. This one won't last long. 


www.mtkauto.com


Like us on Facebook at : MTK Auto

Follow us on Instagram at : mtk_auto

VADLR",2010 Lexus LS 460
4,2002 Ford Focus,1000,https://images.craigslist.org/00S0S_j6wJwNJJSjB_600x450.jpg,"2002 Ford Focus
Looking for best offer. Has not been driven in over a year and needs a new battery and oil change. Kept in good condition. 
Great, dependable car that we just don’t use anymore.

Please call Erika for info.",2002 ford focus se
5,"2013 Rav4 XLE - 33k miles $15,000",15000,https://images.craigslist.org/00303_g1kpDH1zTfN_600x450.jpg,"Hello!  I am selling my 2013 Rav4 XLE AWD, with only 33k miles!
No accidents, happy to provide autocheck. The car is in excellent shape, clean inside and out.  Inspected 11/2019, tires have 90%+ tread left.  

This car did have an aftermarket radio, which has been removed - you should be able to get a radio/nav installed easily.  Please let me know if you have any questions!

AWD
ABS Brakes
Air Conditioning
Alloy Wheels
AM/FM Stereo
Automatic Transmission
Auxiliary Audio Input
CD Audio
Cloth Seats
Cruise Control
Full Roof Rack
Overhead Airbags
Power Locks
Power Mirrors
Power Windows
Rear Defroster
Rear View Camera
Side Airbags
Sunroof(s)
Traction Control",2013 toyota rav4
6,2017 Silverado Rally,26500,https://images.craigslist.org/00505_5wWt1YxX421_600x450.jpg,"2017 Chevy Silverado Rally edition.  Low miles - 18k.  Has small dent in bumper where I backed into a pole. Feel free to call or text. 4x4
I DO NOT NEED HELP SELLING
PRICE DROP",2017 chevy silverado
7,2013 Hyundai Sonata Hybrid - RVA Motors,7300,https://images.craigslist.org/00303_cpLZmNSWQy0_600x450.jpg,"2013 Hyundai Sonata - Hybrid 
Make: Hyundai Sonata
Model: 2.4 liter / Automatic
Low miles 106,500




New arrival !!! 2013 Hyundai Sonata Hybrid - Clean inside and out - drives great, new Virginia Inspection.     Great car all around. Call me 804 2127736 if you have any questions or would like to schedule test drive.  We are located at 2516 N Lombardy Street, Richmond, VA 23220. 

Autocheck report shows 2 owners - no accidents
Fog lights
Bluetooth
POWER everything 
Clean inside and out
Tires have plenty of thread left !!!
Drives great
Heated front seats
A/C Blows Cold



CALL NOW 804 325-3080 OR 804 2127736

Thank you for your interest in purchasing a vehicle from RVA Motors.  All our cars are pre purchase inspected and Virginia state inspected.  RVA Motors - we are located at 2516 N Lombardy Street, Richmond, VA 23220

For personal attention, call my cell (804) 212-7736 
Processing fee of $199, title, tags and taxes are extra

VADLR Our Inventory Includes, Honda Civic, Toyota Corolla, Toyota Camry, Nissan Maxima, Nissan Altima, Ford Taurus, Many and Many Honda Accord, Coupe, Sedan, Automatic, 5 Speed, Manual, Bmw, Acura, Integra, Acura, RL, Chevy S10, Pickup Truck, Mini Van, Chevy Venture, Chrysler Town & Country, Chrysler Convertible, Automatic",2013 hyundai sonata hybrid
8,2011 CHEVROLET TRAVERSE,9900,https://images.craigslist.org/00K0K_ez7qBIm961C_600x450.jpg,"2011 CHEVROLET TRAVERSE - LOADED 
Make: CHEVROLET
Model: TRAVERSE 3.6 liter / Automatic
Low miles 61,900




New arrival !!! 2011 Chevrolet Traverse - loaded 2LT Package. Clean inside and out - drives great, new Virginia Inspection.     Great car all around. Call me 804 2127736 if you have any questions or would like to schedule test drive.  We are located at 2516 N Lombardy Street, Richmond, VA 23220. 

Memory Package
BOSE Sound system
Leather interior
POWER everything 
Clean inside and out
Tires have plenty of thread left !!!
Drives great
Third row seat
A/C Blows Cold
LOADED


CALL NOW 804 325-3080 OR 804 2127736

Thank you for your interest in purchasing a vehicle from RVA Motors.  All our cars are pre purchase inspected and Virginia state inspected.  RVA Motors - we are located at 2516 N Lombardy Street, Richmond, VA 23220

For personal attention, call my cell (804) 212-7736 
Processing fee of $199, title, tags and taxes are extra

VADLR Our Inventory Includes, Honda Civic, Toyota Corolla, Toyota Camry, Nissan Maxima, Nissan Altima, Ford Taurus, Many and Many Honda Accord, Coupe, Sedan, Automatic, 5 Speed, Manual, Bmw, Acura, Integra, Acura, RL, Chevy S10, Pickup Truck, Mini Van, Chevy Venture, Chrysler Town & Country, Chrysler Convertible, Automatic",2011 chevrolet traverse
9,2010 Nissan Rogue AWD - 2 Virginia Owners,3400,https://images.craigslist.org/00Z0Z_8pszMc6sw05_600x450.jpg,"2011 Nissan Rogue AWD - LOADED 
Make: Nissan
Model: Rogue 2.5 liter / Automatic
Low miles 177,700




New arrival !!! 2010 Nissan Rogue - all-wheel-drive. Clean inside and out - drives great, new Virginia Inspection.     Great car all around. Call me 804 2127736 if you have any questions or would like to schedule test drive.  We are located at 2516 N Lombardy Street, Richmond, VA 23220. 

Back up camera
BOSE Sound system
2 FOB keys
POWER everything 
Clean inside and out
Tires have plenty of thread left !!!
Drives great
2 owners - 1 accident
A/C Blows Cold



CALL NOW 804 325-3080 OR 804 2127736

Thank you for your interest in purchasing a vehicle from RVA Motors.  All our cars are pre purchase inspected and Virginia state inspected.  RVA Motors - we are located at 2516 N Lombardy Street, Richmond, VA 23220

For personal attention, call my cell (804) 212-7736 
This Rogue is priced below its market value, because it comes with rebuilt title after an accident. 
 Processing fee of $199, title, tags and taxes are extra

VADLR Our Inventory Includes, Honda Civic, Toyota Corolla, Toyota Camry, Nissan Maxima, Nissan Altima, Ford Taurus, Many and Many Honda Accord, Coupe, Sedan, Automatic, 5 Speed, Manual, Bmw, Acura, Integra, Acura, RL, Chevy S10, Pickup Truck, Mini Van, Chevy Venture, Chrysler Town & Country, Chrysler Convertible, Automatic",2010 NISSAN ROGUE
