,title,price,img,post,condition
0,Adcom GDA-700,400,https://images.craigslist.org/00R0R_jAHYVdXrNWo_600x450.jpg,"Recently inherited this DAC, it works properly but I have no use for it.  Priced to sell. Make an offer and its all yours.",excellent
1,55 Westinghouse LCD TV,125,https://images.craigslist.org/01010_ko78pWIF7v0_600x450.jpg,"I bought a bigger TV and no longer need it. 

There is some minor blacklight bleed, but it noticeable on wall westinghouse TVs if you look for it.",
2,"Samsung 46"" Flat Screen",20,https://images.craigslist.org/00J0J_kkDai2WmahR_600x450.jpg,"Has a bleed line across the bottom. Don't obstruct viewing. Good Condition used everyday. Given another one. Rather than discard, someone could use.
show contact info


Samsung LN-T4665F
46"" 1080p LCD HDTV",
3,2 12in Rockford Fosgate T0 subwoofers and Rockford Fosgate T1500 amp,900,https://images.craigslist.org/00R0R_hAKBKNV124Y_600x450.jpg,"2 Brand new 12” Rockford Fosgate T0 subwoofers in a ported box with metal protective grills. EACH sub is 700watt RMS and 1500watt max! The amp is 1500watt RMS, tested and certified for 2200watts peak. The subs and amp absolutely HIT, I have to keep the sub turned to -4 on my head unit because its to much for me. All in for the subs with the box, the amp and install, it cost me over $2000. Im asking $900 for the whole set up. Everything was bought from and professionally installed by audio one in Newport News, VA. Please do research on these subs and amp before you hmu and offer me something ridiculous they are worth the price hands down. These are competition level subs and amp. If your reading this, its still available. Will only sell as a whole set. Subs, box and amp! I can do a demo for u if your interested as long as u come to me and have cash in hand. Will entertain trades for 20in or bigger chrome rims (6x5.5 pattern) with 33or35s by 12.50 or 14 wides on them. Txt me if interested. Thank you.",new
4,"2019 Dell 15"" Full HD Touch Laptop 256 GB NVMe 16 GB RAM Warranty",490,https://images.craigslist.org/00q0q_8BDuYxqdfUo_600x450.jpg,"Dell Laptop 5500 15.6"" Laptop
* Resolution: 1920 x 1080
* Touch-screen
* i5-8265U
* 256 GB NVMe SSD
* 16 GB RAM
* In GREAT condition, almost new (made August 2019)
* Has Dell warranty until August 2020",make / manufacturer: Dell
5,Ubiquiti Networks 24V PoE Adapter,10,https://images.craigslist.org/00u0u_3P5AAZCLmHE_600x450.jpg,"The 24V Ubiquiti PoE Adapter is designed for use with Ubiquiti 24V PoE devices. It provides earth grounding and surge protection to help protect against electrostatic discharge (ESD) events. 
Protection against surge, clamping, maximum surge discharge, peak pulse current, and ESD attacks.",new
6,Samsung 40 inch 1080p HD tv - great condition,120,https://images.craigslist.org/00w0w_8NbyyC9013b_600x450.jpg,"40 inch Samsung 1080p HD tv in great condition. Several years old but in great condition, just needs to be wiped down. Missing the remote but has buttons so it can be operated without a remote or through the use of a cable remote.",
7,Crypto Litecoin Mining Rig Ready to go!,1600,https://images.craigslist.org/01111_5EwFtiv1cUz_600x450.jpg,"FutureBit Apollo 5x Miners FULL SET UP -HIGH EFFICIENCY ASIC Miner for Litecoin. Mined for a few months with no reduction in hash power and consistent efficiency (ran in ""Eco-mode"" so hardware is in perfect shape.  These things produce almost no heat so perfect for mining in the summer.  Theyre not as fast as your typical ASIC tube but they are quieter and more efficient.. and a perfect mining rig for a beginner... just plug and play - I can assist with set up, you just need to make an account on litecoinpool.org and plug in an ethernet and your good to go.  They can run wireless which is the best part, you can put them anywhere in the house.  Mining rig comes with four batch-1 apollos and one batch-2 (light doesnt work on batch 2 but the batch 2's are better- futurebit said theyd repair/replace it but its been running fine so I never sent it in.  All apollos come with the mining OS software already flashed and installed so no need to adjust any script in order to start mining.  This 5 unit miner comes with a 1200 Watt power supply which hits optimal efficiency.  It also includes power cords and literally everything you need to start mining.  I can help you get things rolling if your new to mining.  Overall a great deal that will continue to mine for years.  You really cant beat plug and play with 500 MH/s for 500-600W.  And if you really wanna crank these things each unit can go up to 250-400 MH/s with the right tuning (Experienced users only - but I can give some level of guidance).

Get this thing now while its hot... I have to sell them because my circuit is overloaded and Im trying to downsize. But come summer time these things will run cool as a mofo

Please no low ball offers... if you want to start earning crypto this miner is for you!

15% Off if payed in Bitcoin, 20% off if payed in Tezos",good
8,Preamp - Schiit Mani (Brand New),125,https://images.craigslist.org/00m0m_3LRrA0avPCR_600x450.jpg,"Brand new preamp.  Sells for $149 + shipping from Amazon.

American Made.",new
9,Apple Airpods Pro. Cashapp google pay pick up,100,https://images.craigslist.org/00606_8fPeoaeye9e_600x450.jpg,Brand new original pro model,
