,title,price,img,post,condition
0,Large table with extension and 8 tables,450,https://images.craigslist.org/00Z0Z_jXEExEqV0co_600x450.jpg,"UNITED FURNITURE PECAN FRENCH PROVINCIAL DINING ROOM TABLE WITH 2 LEAVES AND 8 CANE BACK CHAIRS. LEAVES: 18"". 

Wide table

1 small water mark on the table. Otherwise everything is in perfect condition. 

#cane #diningroom #table #frenchdecor",good
1,"30"" Natural Driftwood Wall Mirror",169,https://images.craigslist.org/00000_fgx3SpDYhaS_600x450.jpg,"Handcrafted large natural coastal driftwood twig frame mirror with hanging hardware on reverse. Entire piece measures 24ʺW × 4ʺD × 30.5ʺH. Mirror area measures 20.5"" tall x 14.5"" across.
Perfect for your beach or river house, or just to bring that ocean feeling to your home wherever it may be! Just reduced the price on this great mirror down from $285 to $169!

Please reach out by email if you would like to make an appointment to see this piece. When you write, kindly give some idea of your best days and times to meet.",excellent
2,Wicker tall princess chair,200,https://images.craigslist.org/00v0v_f1Q0Hwia4ST_600x450.jpg,"Vintage wicker tall princess chair

#boho #wicker #princesschair #vintage",good
3,Antique Industrial Narrow Rolling Cart w. Tall Poles and Handle,135,https://images.craigslist.org/00z0z_gttSRFwsqjc_600x450.jpg,"Authentic antique industrial rolling cart, very hefty.  Could be used for creative storage, even repurposed into a bookcase shelving by adding live edge wood slab shelves.

Measures approx. 84""L x 83""T x 28""W, incl. wheels.  Main bed area is 19"" wide, not including the width of the wheels.

Please reach out by email if you would like to make an appointment to see this piece in person. Kindly give some idea of your best days and times to meet when requesting an appointment. I am located on W. Broad Street near Belvidere in the First Fridays Arts District.",good
4,Crate and Barrel Wine Rack w/ Glass Holder - $75 OBO,75,https://images.craigslist.org/00E0E_fxyDRNTVefJ_600x450.jpg,"For sale is a wonderful Crate and Barrel Wine Rack w/ Glass Holder. Holds 18 wine bottles in the bottom rack and holds 9 glasses on the hanger under the top of the rack. Has a small drawer for bar essentials. Wonderful addition to a kitchen or bar area. There is some light condition issues, which can be addressed with a touch-up pen. This piece measures 66"" tall, 15"" deep and 15"" wide. Selling for $75 OBO.

Check out my other Crate and Barrel listings:

Entertainment Center: https://richmond.craigslist.org/fuo/d/richmond-crate-and-barrel-entertainment/ show contact info
.html
Bookshelf: https://richmond.craigslist.org/fuo/d/richmond-crate-and-barrel-bookshelf-75/ show contact info
.html",good
5,2 midcentury arm chairs,50,https://images.craigslist.org/00S0S_4G0kusAVwkW_600x450.jpg,A pair of midcentury chairs. Light blue fabric. $50 per chair or $75 for the pair.,like new
6,Custom Dining Table and 8-Chairs - $1000 OBO,1000,https://images.craigslist.org/00707_aRoNgl8AIV3_600x450.jpg,"Moving and selling my beautiful custom dining table and chairs. The chairs are lined with red velvet - extremely comfortable. The table has usual wear, with two water rings on the top (can be removed). Of the 8-chairs a few could benefit from some minor re-glueing of the backs. 

Paid over $3000 originally. Willing to part for $1000 or best offer. 

These items are located in downtown Richmond near the Jefferson hotel, in a building on the 3rd floor. You will want a few friends or use a moving company to get the item out and to your home - it is extremely heavy. 

The dimensions of the table are:
82"" (7 feet 10 inches) long
35.5"" (2 feet 11.5 inches) wide
30.75"" (2 foot 6.75"") tall. 

The dimensions of the 8-chairs are:
3 feet tall
19"" deep (the seat bottom itself)
19"" tall (from the floor to the bottom of the seat)

Please reach out if you have questions.",good
7,Ethan Allen MCM footstool!,40,https://images.craigslist.org/00a0a_8O0JuitqShp_600x450.jpg,"Small Mustard yellow functional footstool. 

Local area pick up only",fair
8,China Cabinet for Sale!,50,https://images.craigslist.org/00k0k_6SKesEt3iqK_600x450.jpg,"Beautiful china cabinet! Missing one shelf of glass and one front piece of glass (shown in pics)

*Pick up only! This is a large piece and will require a truck!*",excellent
9,Rustic 5 drawer chest BRAND NEW,125,https://images.craigslist.org/00l0l_cgiAIzu6vtm_600x450.jpg,Brand new Never Used Rustic 5 drawer chest by ASHLEY Furniture bought it along with the 8 Drawer Dresser and don't have room or need it proof of purchase last week @ $310 NO scratches/Knicks was Delivered completely intact and still is pretty heavy and is solid wood smoke free home 5 days old NEVER used $125 is pretty firm can work a little maybe if you PU 540.413.823two.....Jason,new
